# Exported 2021-06-09T23:57:17.076741 from
# ixmp://cloned-2021-06-09/ENGAGE_SSP2_v4.1.7_ar5_gwp100/EN_NPi2020_1000_emif_new
node_loc,technology,year_vtg,year_act,mode,emission,value,unit
R11_PAO,meth_fc_trp,2060,2060,M1,CF4_Emission,8e-07,???
R11_PAO,meth_fc_trp,2070,2070,M1,CF4_Emission,7.333333333333333e-07,???
R11_PAO,meth_fc_trp,2080,2080,M1,CF4_Emission,6.666666666666666e-07,???
R11_PAO,meth_fc_trp,2090,2090,M1,CF4_Emission,6e-07,???
R11_PAO,meth_fc_trp,2100,2100,M1,CF4_Emission,5.333333333333333e-07,???
R11_PAO,meth_fc_trp,2110,2110,M1,CF4_Emission,5.333333333333333e-07,???
R11_PAO,meth_ic_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_PAO,meth_ic_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_PAO,meth_ic_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_PAO,meth_ic_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_PAO,meth_ic_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_PAO,meth_ic_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_PAO,meth_ic_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_PAO,meth_ic_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_PAO,meth_ic_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_PAO,meth_ic_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_PAO,meth_ic_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_PAO,meth_ic_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_PAO,meth_ic_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAO,meth_ic_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,eth_fc_trp,2020,2020,M1,CF4_Emission,1.6666666666666667e-06,???
R11_PAS,eth_fc_trp,2025,2025,M1,CF4_Emission,1.5e-06,???
R11_PAS,eth_fc_trp,2030,2030,M1,CF4_Emission,1.3333333333333332e-06,???
R11_PAS,eth_fc_trp,2035,2035,M1,CF4_Emission,1.2000000000000002e-06,???
R11_PAS,eth_fc_trp,2040,2040,M1,CF4_Emission,1.0666666666666667e-06,???
R11_PAS,eth_fc_trp,2045,2045,M1,CF4_Emission,1e-06,???
R11_PAS,eth_fc_trp,2050,2050,M1,CF4_Emission,9.333333333333333e-07,???
R11_PAS,eth_fc_trp,2055,2055,M1,CF4_Emission,8.666666666666666e-07,???
R11_PAS,eth_fc_trp,2060,2060,M1,CF4_Emission,8e-07,???
R11_PAS,eth_fc_trp,2070,2070,M1,CF4_Emission,7.333333333333333e-07,???
R11_PAS,eth_fc_trp,2080,2080,M1,CF4_Emission,6.666666666666666e-07,???
R11_PAS,eth_fc_trp,2090,2090,M1,CF4_Emission,6e-07,???
R11_PAS,eth_fc_trp,2100,2100,M1,CF4_Emission,5.333333333333333e-07,???
R11_PAS,eth_fc_trp,2110,2110,M1,CF4_Emission,5.333333333333333e-07,???
R11_PAS,eth_ic_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_PAS,eth_ic_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_PAS,eth_ic_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_PAS,eth_ic_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_PAS,eth_ic_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_PAS,eth_ic_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_PAS,eth_ic_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_PAS,eth_ic_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_PAS,eth_ic_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_PAS,eth_ic_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_PAS,eth_ic_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_PAS,eth_ic_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_PAS,eth_ic_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_PAS,eth_ic_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_PAS,eth_ic_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_PAS,eth_ic_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_PAS,eth_ic_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_PAS,eth_ic_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,eth_ic_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,foil_trp,1990,1990,M1,CF4_Emission,7.2e-06,???
R11_PAS,foil_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_PAS,foil_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_PAS,foil_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_PAS,foil_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_PAS,foil_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_PAS,foil_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_PAS,foil_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_PAS,foil_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_PAS,foil_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_PAS,foil_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_PAS,foil_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_PAS,foil_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_PAS,foil_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_PAS,foil_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_PAS,foil_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_PAS,foil_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_PAS,foil_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_PAS,foil_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,foil_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,h2_fc_trp,2035,2035,M1,CF4_Emission,8.88888888888889e-07,???
R11_PAS,h2_fc_trp,2035,2040,M1,CF4_Emission,8.88888888888889e-07,???
R11_PAS,h2_fc_trp,2040,2040,M1,CF4_Emission,8.88888888888889e-07,???
R11_PAS,h2_fc_trp,2040,2045,M1,CF4_Emission,8.333333333333334e-07,???
R11_PAS,h2_fc_trp,2045,2045,M1,CF4_Emission,8.333333333333334e-07,???
R11_PAS,h2_fc_trp,2045,2050,M1,CF4_Emission,7.777777777777778e-07,???
R11_PAS,h2_fc_trp,2050,2050,M1,CF4_Emission,7.777777777777778e-07,???
R11_PAS,h2_fc_trp,2050,2055,M1,CF4_Emission,7.222222222222221e-07,???
R11_PAS,h2_fc_trp,2055,2055,M1,CF4_Emission,7.222222222222221e-07,???
R11_PAS,h2_fc_trp,2055,2060,M1,CF4_Emission,6.666666666666666e-07,???
R11_PAS,h2_fc_trp,2060,2060,M1,CF4_Emission,6.666666666666666e-07,???
R11_PAS,h2_fc_trp,2060,2070,M1,CF4_Emission,6.111111111111112e-07,???
R11_PAS,h2_fc_trp,2070,2070,M1,CF4_Emission,6.111111111111112e-07,???
R11_PAS,h2_fc_trp,2080,2080,M1,CF4_Emission,5.555555555555555e-07,???
R11_PAS,h2_fc_trp,2090,2090,M1,CF4_Emission,5e-07,???
R11_PAS,h2_fc_trp,2100,2100,M1,CF4_Emission,4.444444444444445e-07,???
R11_PAS,h2_fc_trp,2110,2110,M1,CF4_Emission,4.444444444444445e-07,???
R11_PAS,loil_trp,1990,1990,M1,CF4_Emission,7.2e-06,???
R11_PAS,loil_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_PAS,loil_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_PAS,loil_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_PAS,loil_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_PAS,loil_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_PAS,loil_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_PAS,loil_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_PAS,loil_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_PAS,loil_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_PAS,loil_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_PAS,loil_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_PAS,loil_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_PAS,loil_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_PAS,loil_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_PAS,loil_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_PAS,loil_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_PAS,loil_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_PAS,loil_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,loil_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,meth_fc_trp,2020,2020,M1,CF4_Emission,1.6666666666666667e-06,???
R11_PAS,meth_fc_trp,2025,2025,M1,CF4_Emission,1.5e-06,???
R11_PAS,meth_fc_trp,2030,2030,M1,CF4_Emission,1.3333333333333332e-06,???
R11_PAS,meth_fc_trp,2035,2035,M1,CF4_Emission,1.2000000000000002e-06,???
R11_PAS,meth_fc_trp,2040,2040,M1,CF4_Emission,1.0666666666666667e-06,???
R11_PAS,meth_fc_trp,2045,2045,M1,CF4_Emission,1e-06,???
R11_PAS,meth_fc_trp,2050,2050,M1,CF4_Emission,9.333333333333333e-07,???
R11_PAS,meth_fc_trp,2055,2055,M1,CF4_Emission,8.666666666666666e-07,???
R11_PAS,meth_fc_trp,2060,2060,M1,CF4_Emission,8e-07,???
R11_PAS,meth_fc_trp,2070,2070,M1,CF4_Emission,7.333333333333333e-07,???
R11_PAS,meth_fc_trp,2080,2080,M1,CF4_Emission,6.666666666666666e-07,???
R11_PAS,meth_fc_trp,2090,2090,M1,CF4_Emission,6e-07,???
R11_PAS,meth_fc_trp,2100,2100,M1,CF4_Emission,5.333333333333333e-07,???
R11_PAS,meth_fc_trp,2110,2110,M1,CF4_Emission,5.333333333333333e-07,???
R11_PAS,meth_ic_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_PAS,meth_ic_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_PAS,meth_ic_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_PAS,meth_ic_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_PAS,meth_ic_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_PAS,meth_ic_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_PAS,meth_ic_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_PAS,meth_ic_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_PAS,meth_ic_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_PAS,meth_ic_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_PAS,meth_ic_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_PAS,meth_ic_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_PAS,meth_ic_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_PAS,meth_ic_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,eth_fc_trp,2020,2020,M1,CF4_Emission,1.6666666666666667e-06,???
R11_SAS,eth_fc_trp,2025,2025,M1,CF4_Emission,1.5e-06,???
R11_SAS,eth_fc_trp,2030,2030,M1,CF4_Emission,1.3333333333333332e-06,???
R11_SAS,eth_fc_trp,2035,2035,M1,CF4_Emission,1.2000000000000002e-06,???
R11_SAS,eth_fc_trp,2040,2040,M1,CF4_Emission,1.0666666666666667e-06,???
R11_SAS,eth_fc_trp,2045,2045,M1,CF4_Emission,1e-06,???
R11_SAS,eth_fc_trp,2050,2050,M1,CF4_Emission,9.333333333333333e-07,???
R11_SAS,eth_fc_trp,2055,2055,M1,CF4_Emission,8.666666666666666e-07,???
R11_SAS,eth_fc_trp,2060,2060,M1,CF4_Emission,8e-07,???
R11_SAS,eth_fc_trp,2070,2070,M1,CF4_Emission,7.333333333333333e-07,???
R11_SAS,eth_fc_trp,2080,2080,M1,CF4_Emission,6.666666666666666e-07,???
R11_SAS,eth_fc_trp,2090,2090,M1,CF4_Emission,6e-07,???
R11_SAS,eth_fc_trp,2100,2100,M1,CF4_Emission,5.333333333333333e-07,???
R11_SAS,eth_fc_trp,2110,2110,M1,CF4_Emission,5.333333333333333e-07,???
R11_SAS,eth_ic_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_SAS,eth_ic_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_SAS,eth_ic_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_SAS,eth_ic_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_SAS,eth_ic_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_SAS,eth_ic_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_SAS,eth_ic_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_SAS,eth_ic_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_SAS,eth_ic_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_SAS,eth_ic_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_SAS,eth_ic_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_SAS,eth_ic_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_SAS,eth_ic_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_SAS,eth_ic_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_SAS,eth_ic_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_SAS,eth_ic_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_SAS,eth_ic_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_SAS,eth_ic_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,eth_ic_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,foil_trp,1990,1990,M1,CF4_Emission,7.2e-06,???
R11_SAS,foil_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_SAS,foil_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_SAS,foil_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_SAS,foil_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_SAS,foil_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_SAS,foil_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_SAS,foil_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_SAS,foil_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_SAS,foil_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_SAS,foil_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_SAS,foil_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_SAS,foil_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_SAS,foil_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_SAS,foil_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_SAS,foil_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_SAS,foil_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_SAS,foil_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_SAS,foil_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,foil_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,h2_fc_trp,2035,2035,M1,CF4_Emission,8.88888888888889e-07,???
R11_SAS,h2_fc_trp,2035,2040,M1,CF4_Emission,8.88888888888889e-07,???
R11_SAS,h2_fc_trp,2040,2040,M1,CF4_Emission,8.88888888888889e-07,???
R11_SAS,h2_fc_trp,2040,2045,M1,CF4_Emission,8.333333333333334e-07,???
R11_SAS,h2_fc_trp,2045,2045,M1,CF4_Emission,8.333333333333334e-07,???
R11_SAS,h2_fc_trp,2045,2050,M1,CF4_Emission,7.777777777777778e-07,???
R11_SAS,h2_fc_trp,2050,2050,M1,CF4_Emission,7.777777777777778e-07,???
R11_SAS,h2_fc_trp,2050,2055,M1,CF4_Emission,7.222222222222221e-07,???
R11_SAS,h2_fc_trp,2055,2055,M1,CF4_Emission,7.222222222222221e-07,???
R11_SAS,h2_fc_trp,2055,2060,M1,CF4_Emission,6.666666666666666e-07,???
R11_SAS,h2_fc_trp,2060,2060,M1,CF4_Emission,6.666666666666666e-07,???
R11_SAS,h2_fc_trp,2060,2070,M1,CF4_Emission,6.111111111111112e-07,???
R11_SAS,h2_fc_trp,2070,2070,M1,CF4_Emission,6.111111111111112e-07,???
R11_SAS,h2_fc_trp,2080,2080,M1,CF4_Emission,5.555555555555555e-07,???
R11_SAS,h2_fc_trp,2090,2090,M1,CF4_Emission,5e-07,???
R11_SAS,h2_fc_trp,2100,2100,M1,CF4_Emission,4.444444444444445e-07,???
R11_SAS,h2_fc_trp,2110,2110,M1,CF4_Emission,4.444444444444445e-07,???
R11_SAS,loil_trp,1990,1990,M1,CF4_Emission,7.2e-06,???
R11_SAS,loil_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_SAS,loil_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_SAS,loil_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_SAS,loil_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_SAS,loil_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_SAS,loil_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_SAS,loil_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_SAS,loil_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_SAS,loil_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_SAS,loil_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_SAS,loil_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_SAS,loil_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_SAS,loil_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_SAS,loil_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_SAS,loil_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_SAS,loil_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_SAS,loil_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_SAS,loil_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,loil_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,meth_fc_trp,2020,2020,M1,CF4_Emission,1.6666666666666667e-06,???
R11_SAS,meth_fc_trp,2025,2025,M1,CF4_Emission,1.5e-06,???
R11_SAS,meth_fc_trp,2030,2030,M1,CF4_Emission,1.3333333333333332e-06,???
R11_SAS,meth_fc_trp,2035,2035,M1,CF4_Emission,1.2000000000000002e-06,???
R11_SAS,meth_fc_trp,2040,2040,M1,CF4_Emission,1.0666666666666667e-06,???
R11_SAS,meth_fc_trp,2045,2045,M1,CF4_Emission,1e-06,???
R11_SAS,meth_fc_trp,2050,2050,M1,CF4_Emission,9.333333333333333e-07,???
R11_SAS,meth_fc_trp,2055,2055,M1,CF4_Emission,8.666666666666666e-07,???
R11_SAS,meth_fc_trp,2060,2060,M1,CF4_Emission,8e-07,???
R11_SAS,meth_fc_trp,2070,2070,M1,CF4_Emission,7.333333333333333e-07,???
R11_SAS,meth_fc_trp,2080,2080,M1,CF4_Emission,6.666666666666666e-07,???
R11_SAS,meth_fc_trp,2090,2090,M1,CF4_Emission,6e-07,???
R11_SAS,meth_fc_trp,2100,2100,M1,CF4_Emission,5.333333333333333e-07,???
R11_SAS,meth_fc_trp,2110,2110,M1,CF4_Emission,5.333333333333333e-07,???
R11_SAS,meth_ic_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_SAS,meth_ic_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_SAS,meth_ic_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_SAS,meth_ic_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_SAS,meth_ic_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_SAS,meth_ic_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_SAS,meth_ic_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_SAS,meth_ic_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_SAS,meth_ic_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_SAS,meth_ic_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_SAS,meth_ic_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_SAS,meth_ic_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_SAS,meth_ic_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_SAS,meth_ic_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_SAS,meth_ic_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_SAS,meth_ic_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_SAS,meth_ic_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_SAS,meth_ic_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_SAS,meth_ic_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_WEU,eth_fc_trp,2020,2020,M1,CF4_Emission,1.6666666666666667e-06,???
R11_WEU,eth_fc_trp,2025,2025,M1,CF4_Emission,1.5e-06,???
R11_WEU,eth_fc_trp,2030,2030,M1,CF4_Emission,1.3333333333333332e-06,???
R11_WEU,eth_fc_trp,2035,2035,M1,CF4_Emission,1.2000000000000002e-06,???
R11_WEU,eth_fc_trp,2040,2040,M1,CF4_Emission,1.0666666666666667e-06,???
R11_WEU,eth_fc_trp,2045,2045,M1,CF4_Emission,1e-06,???
R11_WEU,eth_fc_trp,2050,2050,M1,CF4_Emission,9.333333333333333e-07,???
R11_WEU,eth_fc_trp,2055,2055,M1,CF4_Emission,8.666666666666666e-07,???
R11_WEU,eth_fc_trp,2060,2060,M1,CF4_Emission,8e-07,???
R11_WEU,eth_fc_trp,2070,2070,M1,CF4_Emission,7.333333333333333e-07,???
R11_WEU,eth_fc_trp,2080,2080,M1,CF4_Emission,6.666666666666666e-07,???
R11_WEU,eth_fc_trp,2090,2090,M1,CF4_Emission,6e-07,???
R11_WEU,eth_fc_trp,2100,2100,M1,CF4_Emission,5.333333333333333e-07,???
R11_WEU,eth_fc_trp,2110,2110,M1,CF4_Emission,5.333333333333333e-07,???
R11_WEU,eth_ic_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_WEU,eth_ic_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_WEU,eth_ic_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_WEU,eth_ic_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_WEU,eth_ic_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_WEU,eth_ic_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_WEU,eth_ic_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_WEU,eth_ic_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_WEU,eth_ic_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_WEU,eth_ic_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_WEU,eth_ic_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_WEU,eth_ic_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_WEU,eth_ic_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_WEU,eth_ic_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_WEU,eth_ic_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_WEU,eth_ic_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_WEU,eth_ic_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_WEU,eth_ic_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_WEU,eth_ic_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_WEU,foil_trp,1990,1990,M1,CF4_Emission,7.2e-06,???
R11_WEU,foil_trp,1995,1995,M1,CF4_Emission,6.799999999999999e-06,???
R11_WEU,foil_trp,2000,2000,M1,CF4_Emission,4.1000000000000006e-06,???
R11_WEU,foil_trp,2005,2005,M1,CF4_Emission,3.7e-06,???
R11_WEU,foil_trp,2010,2010,M1,CF4_Emission,3.3e-06,???
R11_WEU,foil_trp,2015,2015,M1,CF4_Emission,2.8999999999999998e-06,???
R11_WEU,foil_trp,2020,2020,M1,CF4_Emission,2.5e-06,???
R11_WEU,foil_trp,2025,2025,M1,CF4_Emission,2.25e-06,???
R11_WEU,foil_trp,2030,2030,M1,CF4_Emission,2e-06,???
R11_WEU,foil_trp,2035,2035,M1,CF4_Emission,1.8e-06,???
R11_WEU,foil_trp,2040,2040,M1,CF4_Emission,1.6000000000000001e-06,???
R11_WEU,foil_trp,2045,2045,M1,CF4_Emission,1.5e-06,???
R11_WEU,foil_trp,2050,2050,M1,CF4_Emission,1.4e-06,???
R11_WEU,foil_trp,2055,2055,M1,CF4_Emission,1.2999999999999998e-06,???
R11_WEU,foil_trp,2060,2060,M1,CF4_Emission,1.2e-06,???
R11_WEU,foil_trp,2070,2070,M1,CF4_Emission,1.1e-06,???
R11_WEU,foil_trp,2080,2080,M1,CF4_Emission,1e-06,???
R11_WEU,foil_trp,2090,2090,M1,CF4_Emission,9e-07,???
R11_WEU,foil_trp,2100,2100,M1,CF4_Emission,8.000000000000001e-07,???
R11_WEU,foil_trp,2110,2110,M1,CF4_Emission,8.000000000000001e-07,???
R11_WEU,h2_fc_trp,2025,2025,M1,CF4_Emission,1.111111111111111e-06,???
R11_WEU,h2_fc_trp,2025,2030,M1,CF4_Emission,1.111111111111111e-06,???
R11_WEU,h2_fc_trp,2030,2030,M1,CF4_Emission,1.111111111111111e-06,???
R11_WEU,h2_fc_trp,2030,2035,M1,CF4_Emission,1e-06,???
R11_WEU,h2_fc_trp,2035,2035,M1,CF4_Emission,1e-06,???
R11_WEU,h2_fc_trp,2035,2040,M1,CF4_Emission,8.88888888888889e-07,???
R11_WEU,h2_fc_trp,2040,2040,M1,CF4_Emission,8.88888888888889e-07,???
R11_WEU,h2_fc_trp,2040,2045,M1,CF4_Emission,8.333333333333334e-07,???
R11_WEU,h2_fc_trp,2045,2045,M1,CF4_Emission,8.333333333333334e-07,???
