node_loc,technology,year_act,value,unit,mode,time
R12_EEU,oil_tanker_loil,2025,108672.5416032,Mt-km,EEU-NAM,year
R12_EEU,oil_tanker_loil,2025,4432570.927686,Mt-km,EEU-WEU,year
R12_FSU,oil_tanker_loil,2025,829.028871,Mt-km,FSU-AFR,year
R12_FSU,oil_tanker_loil,2025,140794.3663632,Mt-km,FSU-CHN,year
R12_FSU,oil_tanker_loil,2025,1957857.3242567999,Mt-km,FSU-EEU,year
R12_FSU,oil_tanker_loil,2025,6037.1568648,Mt-km,FSU-LAM,year
R12_FSU,oil_tanker_loil,2025,103469.34900330001,Mt-km,FSU-MEA,year
R12_FSU,oil_tanker_loil,2025,222820.6464855,Mt-km,FSU-NAM,year
R12_FSU,oil_tanker_loil,2025,107928.42401880001,Mt-km,FSU-PAO,year
R12_FSU,oil_tanker_loil,2025,3284324.8028937,Mt-km,FSU-PAS,year
R12_FSU,oil_tanker_loil,2025,65.8302714,Mt-km,FSU-RCPA,year
R12_FSU,oil_tanker_loil,2025,3211.832151,Mt-km,FSU-SAS,year
R12_FSU,oil_tanker_loil,2025,123267821.067936,Mt-km,FSU-WEU,year
R12_LAM,oil_tanker_loil,2025,1122747.9011577,Mt-km,LAM-AFR,year
R12_LAM,oil_tanker_loil,2025,177971.1408396,Mt-km,LAM-CHN,year
R12_LAM,oil_tanker_loil,2025,1528.758765,Mt-km,LAM-EEU,year
R12_LAM,oil_tanker_loil,2025,2529.1418040000003,Mt-km,LAM-FSU,year
R12_LAM,oil_tanker_loil,2025,456687.6701184,Mt-km,LAM-MEA,year
R12_LAM,oil_tanker_loil,2025,300726816.9669036,Mt-km,LAM-NAM,year
R12_LAM,oil_tanker_loil,2025,2523485.8105506,Mt-km,LAM-PAO,year
R12_LAM,oil_tanker_loil,2025,7547794.1864793,Mt-km,LAM-PAS,year
R12_LAM,oil_tanker_loil,2025,25599.8149812,Mt-km,LAM-SAS,year
R12_LAM,oil_tanker_loil,2025,40210893.8741808,Mt-km,LAM-WEU,year
R12_MEA,oil_tanker_loil,2025,111597191.926605,Mt-km,MEA-AFR,year
R12_MEA,oil_tanker_loil,2025,2160687.663603,Mt-km,MEA-CHN,year
R12_MEA,oil_tanker_loil,2025,5450.1786369,Mt-km,MEA-EEU,year
R12_MEA,oil_tanker_loil,2025,40482.6844617,Mt-km,MEA-FSU,year
R12_MEA,oil_tanker_loil,2025,277910.0070912,Mt-km,MEA-LAM,year
R12_MEA,oil_tanker_loil,2025,1179459.0870840002,Mt-km,MEA-NAM,year
R12_MEA,oil_tanker_loil,2025,12138393.6660555,Mt-km,MEA-PAO,year
R12_MEA,oil_tanker_loil,2025,290596052.83867925,Mt-km,MEA-PAS,year
R12_MEA,oil_tanker_loil,2025,41.7397212,Mt-km,MEA-RCPA,year
R12_MEA,oil_tanker_loil,2025,127783910.47897439,Mt-km,MEA-SAS,year
R12_MEA,oil_tanker_loil,2025,154292542.6934556,Mt-km,MEA-WEU,year
R12_NAM,oil_tanker_loil,2025,394165.9851948,Mt-km,NAM-AFR,year
R12_NAM,oil_tanker_loil,2025,109321.32479310001,Mt-km,NAM-CHN,year
R12_NAM,oil_tanker_loil,2025,7662.5482032,Mt-km,NAM-EEU,year
R12_NAM,oil_tanker_loil,2025,243979.9830072,Mt-km,NAM-FSU,year
R12_NAM,oil_tanker_loil,2025,389932429.4415333,Mt-km,NAM-LAM,year
R12_NAM,oil_tanker_loil,2025,328812.1861995,Mt-km,NAM-MEA,year
R12_NAM,oil_tanker_loil,2025,248877.721053,Mt-km,NAM-PAO,year
R12_NAM,oil_tanker_loil,2025,6686148.492562501,Mt-km,NAM-PAS,year
R12_NAM,oil_tanker_loil,2025,88796961.8613504,Mt-km,NAM-WEU,year
R12_PAO,oil_tanker_loil,2025,6636.3772455,Mt-km,PAO-AFR,year
R12_PAO,oil_tanker_loil,2025,9570720.985537501,Mt-km,PAO-CHN,year
R12_PAO,oil_tanker_loil,2025,83580.4419723,Mt-km,PAO-FSU,year
R12_PAO,oil_tanker_loil,2025,837899.1027458999,Mt-km,PAO-LAM,year
R12_PAO,oil_tanker_loil,2025,517882.43625210004,Mt-km,PAO-MEA,year
R12_PAO,oil_tanker_loil,2025,332645.6979108,Mt-km,PAO-NAM,year
R12_PAO,oil_tanker_loil,2025,304945901.0602092,Mt-km,PAO-PAS,year
R12_PAO,oil_tanker_loil,2025,194804.35334640002,Mt-km,PAO-SAS,year
R12_PAO,oil_tanker_loil,2025,90.023094,Mt-km,PAO-WEU,year
R12_PAS,oil_tanker_loil,2025,4479997.2975126,Mt-km,PAS-AFR,year
R12_PAS,oil_tanker_loil,2025,171919935.494811,Mt-km,PAS-CHN,year
R12_PAS,oil_tanker_loil,2025,2734993.2032316,Mt-km,PAS-FSU,year
R12_PAS,oil_tanker_loil,2025,1176925.8838644,Mt-km,PAS-LAM,year
R12_PAS,oil_tanker_loil,2025,246558321.802278,Mt-km,PAS-MEA,year
R12_PAS,oil_tanker_loil,2025,9879198.1377885,Mt-km,PAS-NAM,year
R12_PAS,oil_tanker_loil,2025,315888545.1861378,Mt-km,PAS-PAO,year
R12_PAS,oil_tanker_loil,2025,1908383.8876650003,Mt-km,PAS-RCPA,year
R12_PAS,oil_tanker_loil,2025,212213942.505459,Mt-km,PAS-SAS,year
R12_PAS,oil_tanker_loil,2025,194375.326509,Mt-km,PAS-WEU,year
R12_RCPA,oil_tanker_loil,2025,23224.22235,Mt-km,RCPA-CHN,year
R12_RCPA,oil_tanker_loil,2025,3796.4497842000005,Mt-km,RCPA-PAO,year
R12_RCPA,oil_tanker_loil,2025,1986235.8444720001,Mt-km,RCPA-PAS,year
R12_RCPA,oil_tanker_loil,2025,25.8709113,Mt-km,RCPA-SAS,year
R12_SAS,oil_tanker_loil,2025,9523418.027040001,Mt-km,SAS-AFR,year
R12_SAS,oil_tanker_loil,2025,132737.33096730002,Mt-km,SAS-CHN,year
R12_SAS,oil_tanker_loil,2025,653.380398,Mt-km,SAS-FSU,year
R12_SAS,oil_tanker_loil,2025,72181.26090450001,Mt-km,SAS-LAM,year
R12_SAS,oil_tanker_loil,2025,209679447.80925,Mt-km,SAS-MEA,year
R12_SAS,oil_tanker_loil,2025,35380.4360805,Mt-km,SAS-NAM,year
R12_SAS,oil_tanker_loil,2025,338496.3702792,Mt-km,SAS-PAO,year
R12_SAS,oil_tanker_loil,2025,89056730.458368,Mt-km,SAS-PAS,year
R12_WEU,oil_tanker_loil,2025,113826568.8721392,Mt-km,WEU-AFR,year
R12_WEU,oil_tanker_loil,2025,1300.8705624000002,Mt-km,WEU-CHN,year
R12_WEU,oil_tanker_loil,2025,11818137.254666401,Mt-km,WEU-EEU,year
R12_WEU,oil_tanker_loil,2025,81269447.44701959,Mt-km,WEU-FSU,year
R12_WEU,oil_tanker_loil,2025,27574256.1427371,Mt-km,WEU-LAM,year
R12_WEU,oil_tanker_loil,2025,118083658.062483,Mt-km,WEU-MEA,year
R12_WEU,oil_tanker_loil,2025,105758020.5848127,Mt-km,WEU-NAM,year
R12_WEU,oil_tanker_loil,2025,5485.3335108,Mt-km,WEU-PAO,year
R12_WEU,oil_tanker_loil,2025,251914.5462168,Mt-km,WEU-PAS,year
R12_WEU,oil_tanker_loil,2025,305.88965820000004,Mt-km,WEU-SAS,year
